Id,ActivityDay,Time,PM or AM,Calories
1624580081,05/12/16,3:00:00 AM,PM,63
1927972279,05/12/16,3:00:00 AM,PM,86
2022484408,05/12/16,3:00:00 AM,PM,129
2026352035,05/12/16,3:00:00 AM,PM,116
2873212765,05/12/16,3:00:00 AM,PM,102
4558609924,05/12/16,3:00:00 AM,PM,111
1624580081,05/12/16,2:00:00 AM,PM,116
1927972279,05/12/16,2:00:00 AM,PM,86
2022484408,05/12/16,2:00:00 AM,PM,178
2026352035,05/12/16,2:00:00 AM,PM,92
2320127002,05/12/16,2:00:00 AM,PM,83
2873212765,05/12/16,2:00:00 AM,PM,104
4388161847,05/12/16,2:00:00 AM,PM,117
4445114986,05/12/16,2:00:00 AM,PM,92
4558609924,05/12/16,2:00:00 AM,PM,141
8053475328,05/12/16,2:00:00 AM,PM,388
8378563200,05/12/16,2:00:00 AM,PM,107
8877689391,05/12/16,2:00:00 AM,PM,113
1624580081,05/12/16,1:00:00 AM,PM,83
1927972279,05/12/16,1:00:00 AM,PM,86
2022484408,05/12/16,1:00:00 AM,PM,152
2026352035,05/12/16,1:00:00 AM,PM,101
2320127002,05/12/16,1:00:00 AM,PM,89
2873212765,05/12/16,1:00:00 AM,PM,109
4388161847,05/12/16,1:00:00 AM,PM,114
4445114986,05/12/16,1:00:00 AM,PM,83
4558609924,05/12/16,1:00:00 AM,PM,145
8053475328,05/12/16,1:00:00 AM,PM,77
8378563200,05/12/16,1:00:00 AM,PM,142
8877689391,05/12/16,1:00:00 AM,PM,101
1624580081,05/12/16,12:00:00 PM,PM,65
1927972279,05/12/16,12:00:00 PM,PM,86
2022484408,05/12/16,12:00:00 PM,PM,111
2026352035,05/12/16,12:00:00 PM,PM,102
2320127002,05/12/16,12:00:00 PM,PM,107
2873212765,05/12/16,12:00:00 PM,PM,75
4388161847,05/12/16,12:00:00 PM,PM,157
4445114986,05/12/16,12:00:00 PM,PM,84
4558609924,05/12/16,12:00:00 PM,PM,110
7086361926,05/12/16,12:00:00 PM,PM,86
