Id,ActivityDay,Time,PM or AM,StepTotal
1624580081,5/12/2016,3:00:00,PM,121
1927972279,5/12/2016,3:00:00,PM,0
2022484408,5/12/2016,3:00:00,PM,665
2026352035,5/12/2016,3:00:00,PM,1123
2873212765,5/12/2016,3:00:00,PM,667
4558609924,5/12/2016,3:00:00,PM,496
1624580081,5/12/2016,2:00:00,PM,1795
1927972279,5/12/2016,2:00:00,PM,0
2022484408,5/12/2016,2:00:00,PM,1383
2026352035,5/12/2016,2:00:00,PM,618
2320127002,5/12/2016,2:00:00,PM,265
2873212765,5/12/2016,2:00:00,PM,784
4388161847,5/12/2016,2:00:00,PM,313
4445114986,5/12/2016,2:00:00,PM,152
4558609924,5/12/2016,2:00:00,PM,1332
8053475328,5/12/2016,2:00:00,PM,4266
8378563200,5/12/2016,2:00:00,PM,46
8877689391,5/12/2016,2:00:00,PM,457
1624580081,5/12/2016,1:00:00,PM,300
1927972279,5/12/2016,1:00:00,PM,0
2022484408,5/12/2016,1:00:00,PM,997
2026352035,5/12/2016,1:00:00,PM,882
2320127002,5/12/2016,1:00:00,PM,402
2873212765,5/12/2016,1:00:00,PM,788
4388161847,5/12/2016,1:00:00,PM,326
4445114986,5/12/2016,1:00:00,PM,51
4558609924,5/12/2016,1:00:00,PM,1233
8053475328,5/12/2016,1:00:00,PM,0
8378563200,5/12/2016,1:00:00,PM,436
8877689391,5/12/2016,1:00:00,PM,307
1624580081,5/12/2016,12:00:00,PM,215
1927972279,5/12/2016,12:00:00,PM,0
2022484408,5/12/2016,12:00:00,PM,507
2026352035,5/12/2016,12:00:00,PM,976
2320127002,5/12/2016,12:00:00,PM,535
2873212765,5/12/2016,12:00:00,PM,248
4388161847,5/12/2016,12:00:00,PM,799
4445114986,5/12/2016,12:00:00,PM,98
4558609924,5/12/2016,12:00:00,PM,698
7086361926,5/12/2016,12:00:00,PM,201
8053475328,5/12/2016,12:00:00,PM,487
8378563200,5/12/2016,12:00:00,PM,22
8877689391,5/12/2016,12:00:00,PM,3135
